,Nombre,Anterior,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,% Dif.Año 2021
53,BCN GLOBAL 100 (Base 1986),"692,67","688,73","-0,57","693,79","688,72",17/11/2021,17:38:00,"14,21"
54,BCN GLOBAL 100 (Base 1963),"1.780,29","1.770,15","-0,57","1.783,15","1.770,12",17/11/2021,17:38:00,"14,21"
55,BCN MID 50,"26.003,83","25.803,09","-0,77","26.081,14","25.803,09",17/11/2021,17:38:00,"8,89"
56,BCN PROFIT-30,"10.628,65","10.624,99","-0,03","10.650,00","10.586,07",17/11/2021,17:38:00,"10,63"
57,BCN ROE-30,"17.179,20","17.224,45","0,26","17.262,30","17.113,89",17/11/2021,17:38:00,"5,21"
58,BCN PER-30,"16.975,60","16.966,18","-0,06","17.005,34","16.912,05",17/11/2021,17:38:00,"13,09"
59,BCN INDEXCAT,"22.295,55","22.317,92","0,10","22.431,65","22.278,80",17/11/2021,17:38:00,"16,37"
60,I.BILBAO 2000,"1.432,30","1.426,11","-0,43","1.433,45","1.426,11",17/11/2021,17:38:00,"10,45"
61,I.G.B.V.,"1.292,86","1.285,41","-0,58","1.293,95","1.285,36",17/11/2021,17:38:00,"17,30"
62,Índice TEF Apalancado X3,"246,80","249,80","1,22","251,20","242,10",17/11/2021,17:38:00,"68,44"
63,Índice SAN Apalancado X3,"409,80","406,40","-0,83","416,90","404,40",17/11/2021,17:38:00,"68,98"
64,Índice BBVA Apalancado X3,"669,70","653,40","-2,43","674,50","652,40",17/11/2021,17:38:00,"131,46"
65,Índice ITX Apalancado X3,"4.750,10","4.669,30","-1,70","4.772,60","4.574,90",17/11/2021,17:38:00,"61,56"
66,Índice TEF Apalancado X5,"245,90","250,90","2,03","253,20","238,00",17/11/2021,17:38:00,"82,21"
67,Índice SAN Apalancado X5,"1.986,40","1.958,50","-1,40","2.043,70","1.943,10",17/11/2021,17:38:00,"62,57"
68,Índice BBVA Apalancado X5,"636,50","610,70","-4,05","644,20","609,10",17/11/2021,17:38:00,"143,40"
69,Índice ITX Apalancado X5,"327,70","318,40","-2,84","330,30","307,60",17/11/2021,17:38:00,"69,54"
70,Índice TEF Inverso X3,"981,20","968,60","-1,28","999,60","963,30",17/11/2021,17:38:00,"-70,93"
71,Índice SAN Inverso X3,"37,30","37,60","0,80","37,80","36,60",17/11/2021,17:38:00,"-75,62"
72,Índice BBVA Inverso X3,"28,50","29,20","2,46","29,20","28,30",17/11/2021,17:38:00,"-85,19"
73,Índice ITX Inverso X3,"162,40","165,10","1,66","168,30","161,60",17/11/2021,17:38:00,"-67,74"
74,Índice TEF Inverso X5,"13,70","13,40","-2,19","14,10","13,30",17/11/2021,17:38:00,"-90,98"
75,Índice SAN Inverso X5,"3.257,60","3.300,60","1,32","3.325,90","3.161,00",17/11/2021,17:38:00,"163,00"
76,Índice BBVA Inverso X5,"5.553,10","5.773,50","3,97","5.787,90","5.481,40",17/11/2021,17:38:00,"285,74"
77,Índice ITX Inverso X5,"782,60","804,10","2,75","830,00","775,80",17/11/2021,17:38:00,"-88,61"
